id,name,brewery_type,address_1,address_2,city,state_province,postal_code,country,phone,website_url,longitude,latitude
,Schnitzerbräu,,9 Marlener Straße,,Offenburg,Baden-Württemberg,77656,Germany,+49 781 125570,http://www.schnitzerbraeu.de,7.925876999999999,48.469551
,Wallhall,,8 Kübelmarkt,,Bruchsal,Baden-Württemberg,76646,Germany,+49 7251 72130,http://www.brauhaus-wallhall-bruchsal.de,8.599071499999999,49.1228714
,Königsbräu Majer,,1 Oggenhauser Hauptstraße,,Heidenheim an der Brenz,Baden-Württemberg,89522,Germany,+49 7321 97970,http://www.koenigsbraeu.de,10.2359869,48.67018179999999
,Bulzinger,,3 Schillerstraße,,Rietheim-Weilheim,Baden-Württemberg,78604,Germany,+49 7461 73822,https://www.lammbrauerei-weilheim.de/index.php/ueber-uns,8.773282799999999,48.0255894
,Bayerisches Brauhaus,,12 St.Georgen Steige,,Pforzheim,Baden-Württemberg,75175,Germany,+49 7231 60080,http://www.brauhaus-pforzheim.de,8.704553299999999,48.886618
,Engel,,29 Haller Straße,,Crailsheim,Baden-Württemberg,74564,Germany,+49 7951 91930,http://www.engelbier.de,10.0579495,49.1414925
,Hopfenschlingel,,2 Militärstraße,,Rastatt,Baden-Württemberg,76437,Germany,+49 7222 30099,http://www.hopfenschlingel-pforzheim.de/,8.2115966,48.8494015
,Adlerbrauerei,,2 Adlergasse,,Erbach,Baden-Württemberg,89155,Germany,+49 7305 7342,http://www.adler-dellmensingen.de,9.900200199999999,48.3026079
,Ketterer,,10 Jahnstraße,,Pforzheim,Baden-Württemberg,75173,Germany,+49 7231 92110,http://www.brauerei-ketterer.de,8.6949614,48.88868739999999
,Schörebräu,,2 Dietmannsweiler,,Tettnang,Baden-Württemberg,88069,Germany,+49 7528 2317,http://www.schoere.de,9.6588444,47.656731
,Barfüßer,,2 Franz-Xaver-Heilig-Straße,,Pfullendorf,Baden-Württemberg,88630,Germany,+49 7552 9280815,http://www.barfuesser-brauhaus/pfullendorf/,9.250859,47.92402209999999
,Distelhäuser,,3 Grünsfelder Straße,,Tauberbischofsheim,Baden-Württemberg,97941,Germany,+49 9341 805820,http://www.distelhaeuser.de,9.6939324,49.5988339
,BIERkulturGUT,,2 Weiße-Tor-Straße,,Philippsburg,Baden-Württemberg,76661,Germany,+49 179 2123094,http://www.bierkulturgut.com,8.4536201,49.2366581
,Fürstenberg,,1-4 Postplatz,,Donaueschingen,Baden-Württemberg,78166,Germany,+49 771 860,http://www.fuerstenberg.de,8.4984216,47.9517707
,Welde Bräu,,1 Brauereistraße,,Plankstadt,Baden-Württemberg,68723,Germany,+49 6202 93000,http://www.welde.de,8.57863,49.40197
,Härtsfelder,,19 Hofener Straße,,Dischingen,Baden-Württemberg,89561,Germany,+49 7327 92290,http://www.haertsfelder.de,10.4131985,48.7229045
,Poppel-Mühle,,11 Mühleweg,,Enzklösterle,Baden-Württemberg,75337,Germany,+49 7085 7870,http://www.poppel-muehle.de,8.43801,48.62724
,Edelweissbrauerei Farny,,5 Dürren,,Kißlegg,Baden-Württemberg,88353,Germany,+49 7522 97880,http://www.farny.de,9.8726253,47.728673
,Echterdinger Brauhaus,,2 Filderbahnstraße,,Leinfelden-Echterdingen,Baden-Württemberg,70771,Germany,+49 711 633440,http://www.parkhotel-stuttgart.de,9.1676372,48.6915299
,Franz,,4 Rauentaler Straße,,Rastatt,Baden-Württemberg,76437,Germany,+49 7222 97370,http://www.brauerei-franz.de,8.2090975,48.8571232
,Schwanenbrauerei,,18-20 Schwanengasse,,Ehingen (Donau),Baden-Württemberg,89584,Germany,+49 7391 53420,http://www.schwanen-ehingen.de,9.728232499999999,48.2830996
,Leibinger,,26 Friedhofstraße,,Ravensburg,Baden-Württemberg,88212,Germany,+49 751 36990,http://www.leibinger.de,9.6210866,47.781332
,Zum Schwert,,9 Am Viehmarkt,,Ehingen (Donau),Baden-Württemberg,89584,Germany,+49 7391 1288,http://www.schwertbrauerei.de,9.7220391,48.2834104
,Reichenau Inselbier,,7 Am Vögelisberg,,Reichenau,Baden-Württemberg,78479,Germany,+49 176 21818393,http://www.reichenau-inselbier.de,9.0689409,47.6939726
,Rotochsen,,4 Alte Steige,,Ellwangen (Jagst),Baden-Württemberg,73479,Germany,+49 7961 2039,http://www.roter-ochsen-ellwangen.de,10.138083,48.959929
,Kronenbrauerei Schimpf,,1 Hauptstraße,,Neustetten,Baden-Württemberg,72149,Germany,+49 7472 98940,http://www.brauerei-schimpf.de,8.887230599999999,48.48200730000001
,Ostel Bräu,,2 Riegeler Straße,,Endingen am Kaiserstuhl,Baden-Württemberg,79346,Germany,,http://ostelbraeu.de/,7.7081686,48.1414996
,Tomo Bräu,,5 Im Gässle,,Reutlingen,Baden-Württemberg,72770,Germany,+49 7121 580868,http://www.cafe-venus.de,9.1765148,48.49865519999999
,Palmbräu,,2 Ludwig-Zorn-Straße,,Eppingen,Baden-Württemberg,75031,Germany,+49 7262 6020,http://www.palmbraeu.de,8.90837,49.13762999999999
,Franken Bräu,,4 Heuchlinger Weg,,Schrozberg,Baden-Württemberg,74575,Germany,+49 7936 261,http://www.franken-braeu.de,9.9162401,49.34956039999999
,Ochsenbräu,,5 Albrecht-Wirt-Straße,,Rottenburg am Neckar,Baden-Württemberg,72108,Germany,+49 7457 1263,http://www.ochsenbrauerei.de,8.809683699999999,48.4952468
,Römerbräu,,2 Großherzog-Leopold-Platz,,Riegel am Kaiserstuhl,Baden-Württemberg,79359,Germany,+49 160 94144467,http://www.roemerbraeu.de,7.7533902,48.1484312
,Zum Schwanen,,3 Franziskanergasse,,Esslingen am Neckar,Baden-Württemberg,73728,Germany,+49 711 353253,http://www.schwanen-es.com,9.3101129,48.7411831
,Lehner,,7 Balinger Straße,,Rosenfeld,Baden-Württemberg,72348,Germany,+49 7428 945160,http://www.lehner-wein.de,8.72348,48.28667979999999
,Rothaus,,1 Rothaus,,Grafenhausen,Baden-Württemberg,79865,Germany,+49 7748 5220,http://www.rothaus.de,8.2449303,47.7955017
,Vogel Hausbräu,,4 Rheinstraße,,Ettlingen,Baden-Württemberg,76275,Germany,+49 7243 13739,http://www.vogelbraeu.de,8.404943,48.94173019999999
,Dörzbacher,,53 Lange Straße,,Ahorn,Baden-Württemberg,74744,Germany,+49 7930 374,http://www.doerzbacher-brauerei.de,9.574402,49.46039810000001
,Reiners Rosine,,6 Bildstraße,,Flein,Baden-Württemberg,74223,Germany,+49 7131 30909,http://www.reiners-rosine.de,9.2170264,49.1021327
,Grüner Baum,,Bachstraße,,Fleischwangen,Baden-Württemberg,88373,Germany,+49 7505 347,http://landgasthof.cwsurf.de,9.4817193,47.8778
,Alte Werkstatt,,Luetzestr. 93,,Weingarten (Baden),Baden-Württemberg,76356,Germany,+49 7244 8261,http://www.alte-werkstatt-bier.de,8.5313723,49.0533742
,Hirschbrauerei,,15 Eschachstraße,,Zimmern ob Rottweil,Baden-Württemberg,78658,Germany,+49 7403 489,http://www.hirsch-braeu.de,8.5322765,48.1668107
,Kesselhaus,,3 Arnoldstraße,,Schorndorf,Baden-Württemberg,73614,Germany,+49 7181 484933,http://www.kesselhaus-schorndorf.de,9.5315062,48.8067612
,Feierling,,46 Gerberau,,Freiburg im Breisgau,Baden-Württemberg,79098,Germany,,http://www.feierling.de,7.8527257,47.9933106
,Haller Löwenbräu,,6 Ritterstraße,,Schwäbisch Hall,Baden-Württemberg,74523,Germany,+49 791 50901,http://www.haller-loewenbraeu.de,9.733312699999999,49.1060052
,Ganter,,43 Schwarzwaldstraße,,Freiburg im Breisgau,Baden-Württemberg,79117,Germany,+49 761 21850,http://www.ganter.com,7.8598599,47.9898605
,Sudhaus,,35/1 Lange Straße,,Schwäbisch Hall,Baden-Württemberg,74523,Germany,,http://www.sudhaus-sha.de,9.733111899999999,49.11079489999999
,Martin's Bräu,,237 Kaiser-Joseph-Straße,,Freiburg im Breisgau,Baden-Württemberg,79098,Germany,+49 761 3870018,http://www.mbfr.de,7.8495611,47.99365239999999
,Doc's Bier,,11 Schönhardtshöhe,,Rottenburg am Neckar,Baden-Württemberg,72108,Germany,+49 7472 42936,http://www.docsbier.de,8.8768814,48.4519269
,Turm-Bräu,,64 Marktplatz,,Freudenstadt,Baden-Württemberg,72250,Germany,+49 7441 905121,http://www.turmbraeu.de,8.4122567,48.4639187
,Zum Ritter,,1 Schloßplatz,,Schwetzingen,Baden-Württemberg,68723,Germany,+49 6202 924950,http://www.brauhaus-zum-ritter.de,8.5720637,49.3846283
,Christoph-Bräu,,3 Alois-Degler-Straße,,Gaggenau,Baden-Württemberg,76571,Germany,+49 7225 70393,http://www.christophbraeu.de,8.3164569,48.8045115
,Hopfengut No20,,20 Hopfengut,,Tettnang,Baden-Württemberg,88069,Germany,+49 7542 952206,http://www.hopfengut.de,9.6163814,47.6905211
,Häberlen,,66 Karlstraße,,Gaildorf,Baden-Württemberg,74405,Germany,+49 7971 6250,http://www.brauerei-haeberlen.de,9.772335,48.99837489999999
,Zoller-Hof,,5-7 Fürst-Wilhelm-Straße,,Sigmaringen,Baden-Württemberg,72488,Germany,+49 7571 1843160,http://www.zoller-hof.de,9.218293100000002,48.087454
,Kaiser,,24/26 Schubartstraße,,Geislingen an der Steige,Baden-Württemberg,73312,Germany,+49 7331 93720,http://www.kaiser-brauerei.de,9.840786900000001,48.6135978
,Bürgerstüble,,2 Anwandstraße,,Sulz am Neckar,Baden-Württemberg,72172,Germany,+49 7454 4329,http://buergerstueble-sigmarswangen.de/,8.61486,48.3295
,Schlüsselbräu,,34 Oggenhauser Straße,,Giengen an der Brenz,Baden-Württemberg,89537,Germany,+49 7322 96570,http://www.schluesselbraeu.de,10.2442936,48.6258341
,Mönchwasen,,30 Im Mönchgraben,,Simmozheim,Baden-Württemberg,75397,Germany,+49 7033 809030,http://www.moenchwasen.com,8.80667,48.74584
,Lammbrauerei Hilsenbeck,,37 Hauptstraße,,Gruibingen,Baden-Württemberg,73344,Germany,+49 7335 96440,http://www.lammbrauerei-hilsenbeck.de,9.642365999999999,48.5953507
,Hirsch,,34 Friedrichstraße,,Wurmlingen,Baden-Württemberg,78573,Germany,+49 7461 9420,http://www.hirschbrauerei-soehnstetten.de,8.776947999999999,48.0053516
,Heidelberger,,9 Steingasse,,Heidelberg,Baden-Württemberg,69117,Germany,+49 6221 165850,http://www.heidelberger-brauerei.de,8.7096851,49.4126062
,Brauzentrum Blaubeuren,,6 Auf dem Graben,,Blaubeuren,Baden-Württemberg,89143,Germany,+49 175 9280239,http://www.pumator.de,9.7865239,48.4122368
,Klosterhof,,4 Stiftweg,,Heidelberg,Baden-Württemberg,69118,Germany,+49 6221 6520365,http://www.brauerei-zum-klosterhof.de,8.740091900000001,49.4204577
,Gold-Ochsenbrauerei,,19 Spielbach,,Schrozberg,Baden-Württemberg,74575,Germany,+49 7939 461,https://www.facebook.com/pages/Goldochsen-Brauerei/216104248413407,10.0676001,49.3854822
,Kulturbrauerei,,6 Leyergasse,,Heidelberg,Baden-Württemberg,69117,Germany,+49 6221 502980,http://www.heidelberger-kulturbrauerei.de,8.7131758,49.4131355
,Jupiter,,21 Keltergasse,,Sinsheim,Baden-Württemberg,74889,Germany,+49 7261 975537,http://www.brauhausjupiter.de,8.9051685,49.2394256
,Vetter,,9 Steingasse,,Heidelberg,Baden-Württemberg,69117,Germany,+49 6221 165850,http://www.brauhaus-vetter.de,8.7096851,49.4126062
,Heuberger Biermanufaktur,,10 Storzinger Straße,,Stetten am kalten Markt,Baden-Württemberg,72510,Germany,,http://www.heuberger-biermanufaktur.de,9.0790706,48.122191
,Mangold,,1 Brauereistraße,,Plankstadt,Baden-Württemberg,68723,Germany,+49 6202 93000,http://www.mangold.hn,8.57863,49.40197
,Prestelbräu,,2a Obere Mühlstraße,,Ubstadt-Weiher,Baden-Württemberg,76698,Germany,+49 163 1302511,http://www.prestelbräu.de,8.64894,49.18295
,Herbsthäuser,,28/1 Alte Kaiserstraße,,Bad Mergentheim,Baden-Württemberg,97980,Germany,+49 7932 91000,http://www.herbsthaeuser.de,9.8295912,49.40393299999999
,Calwer-Eck-Bräu,,45 Calwer Straße,,Stuttgart,Baden-Württemberg,70173,Germany,+49 711 224150,http://www.calwereck.de,9.1729146,48.7748725
,Sonne,,1 Bösinger Straße,,Bösingen,Baden-Württemberg,78662,Germany,+49 7404 2444,,8.58,48.2244444
,Cast,,144 Siemensstraße,,Stuttgart,Baden-Württemberg,70469,Germany,+49 711 50482973,http://www.cast-brauerei.com,9.1698415,48.81883149999999
,Heubacher,,99 Hauptstraße,,Heubach,Baden-Württemberg,73540,Germany,+49 7173 18000,http://www.heubacher.de,9.936866499999999,48.7857784
,Dinkelacker-Schwaben,,46 Tübinger Straße,,Stuttgart,Baden-Württemberg,70178,Germany,+49 711 64810,http://www.ds-kg.de,9.1699231,48.767743
,Hirschbräu,,1 Ringstraße,,Rosenberg,Baden-Württemberg,74749,Germany,+49 6295 7159,http://www.hirschbraeu-hirschlanden.de,9.4998019,49.4743161
,Sophie's Brauhaus,,28 Marienstraße,,Stuttgart,Baden-Württemberg,70178,Germany,+49 711 610962,http://www.sophies-brauhaus.de,9.17231,48.77302
,Hochdorfer Kronenbrauerei,,16-20 Rottweiler Straße,,Nagold,Baden-Württemberg,72202,Germany,+49 7459 92920,http://www.hochdorfer.de,8.7216124,48.4940448
,Stuttgarter Hofbräu,,132 Böblinger Straße,,Stuttgart,Baden-Württemberg,70199,Germany,+49 711 64880,http://www.stuttgarter-hofbraeu.de,9.1539925,48.7613176
,Zum Stadtpark,,1 Parkstraße,,Hockenheim,Baden-Württemberg,68766,Germany,+49 6205 283688,http://www.brauereizumstadtpark.de,8.5518626,49.3184333
,Brauhaus am Schlößle,,78/2 Backnanger Straße,,Sulzbach an der Murr,Baden-Württemberg,71560,Germany,+49 176 22922941,http://www.brauhaus-am-schloessle.de,9.49669,49.00412
,Pflugbrauerei,,7 Wirtsgasse,,Langenau,Baden-Württemberg,89129,Germany,+49 7348 6237,http://www.pflugbrauerei.de,10.0276355,48.4859605
,Markgräfler Brauwerk,,1 Flühgasse,,Kandern,Baden-Württemberg,79400,Germany,+49 176 45968965,http://www.markgraefler-brauwerk.de,7.607081999999998,47.710753
,Krone,,7 Bärenplatz,,Tettnang,Baden-Württemberg,88069,Germany,+49 7542 7452,http://www.krone-tettnang.de,9.588956,47.671561
,Stolz,,2 Rotenbacher Weg,,Isny im Allgäu,Baden-Württemberg,88316,Germany,+49 7562 971130,http://www.brauerei-stolz.de,10.0437361,47.6964252
,Café Mundart,,24 Balinger Straße,,Meßstetten,Baden-Württemberg,72469,Germany,+49 7436 910958,http://www.cafe-mundart.de,8.872172599999999,48.2002834
,Badisch Brauhaus,,38-40 Stephanienstraße,,Karlsruhe,Baden-Württemberg,76133,Germany,+49 721 1444400,http://www.badisch-brauhaus.de,8.3938044,49.0118167
,Albquell Bräuhaus,,6 Lindenplatz,,Trochtelfingen,Baden-Württemberg,72818,Germany,+49 7124 733,http://www.albquell-brauhaus.de,9.2455955,48.3081319
,Brauhaus 2.0,,8 Egon-Eiermann-Allee,,Karlsruhe,Baden-Württemberg,76187,Germany,+49 721 47050220,http://www.brauhaus-zweipunktnull.de,8.3502092,49.03681659999999
,Krokodil,,15 In Grubäcker,,Trossingen,Baden-Württemberg,78647,Germany,+49 7425 21194,http://www.krokodil-trossingen.de,8.628559,48.07165639999999
,Hoepfner,,18 Haid-und-Neu-Straße,,Karlsruhe,Baden-Württemberg,76131,Germany,+49 721 61830,http://www.hoepfner.de,8.4269801,49.0123462
,Neckarmüller,,4 Gartenstraße,,Tübingen,Baden-Württemberg,72074,Germany,+49 7071 27848,http://www.neckarmueller.de,9.0586193,48.5193271
,Kühler Krug,,3a Wilhelm-Baur-Straße,,Karlsruhe,Baden-Württemberg,76135,Germany,+49 721 8316416,http://www.brauhaus-kuehler-krug.de,8.368266799999999,49.00409819999999
,Gerber Bräu,,47 Kanalstraße,,Uhingen,Baden-Württemberg,73066,Germany,+49 7161 946970,http://www.gerberbraeu.de,9.5760595,48.7078316
,Hatz- Moninger,,59 Durmersheimer Straße,,Karlsruhe,Baden-Württemberg,76185,Germany,+49 721 57020,http://www.hatz-moninger.de,8.3543264,49.0018676
,Neureuter Braumanufaktur,,59 Durmersheimer Straße,,Karlsruhe,Baden-Württemberg,76185,Germany,+49 721 57020,http://www.braumanufaktur-neureut.de,8.3543264,49.0018676
,Gold Ochsen,,3-8 Veitsbrunnenweg,,Ulm,Baden-Württemberg,89073,Germany,+49 731 1640,http://www.goldochsen.de,9.9906291,48.4065628
,Vogel Hausbräu (Durlach),,16 Amalienbadstraße,,Karlsruhe,Baden-Württemberg,76227,Germany,+49 721 819680,http://www.vogelbraeu.de,8.4659696,48.99848679999999
,Kronenbrauerei Söflingen,,10 Uhrenmachergasse,,Ulm,Baden-Württemberg,89077,Germany,+49 731 388320,http://www.soeflinger-kronenbier.de,9.9559727,48.3952774
,Vogelbräu (Karlsruhe),,50 Kapellenstraße,,Karlsruhe,Baden-Württemberg,76131,Germany,+49 721 605438660,http://www.vogelbraeu.de,8.4140611,49.0074745
,Bauhöfer,,12 Ullenburg Straße,,Renchen,Baden-Württemberg,77871,Germany,+49 7843 94740,http://www.ulmer-bier.de,8.049072599999999,48.58008599999999
,Stiftsscheuer,,6-8 Widerholtstraße,,Kirchheim unter Teck,Baden-Württemberg,73230,Germany,+49 7021 736154,http://www.stiftsscheuer.de,9.4522719,48.6490003
,Bräuhaus Ummendorf,,10 Bachstraße,,Ummendorf,Baden-Württemberg,88444,Germany,+49 7351 44430,http://www.braeuhaus.de,9.832749999999999,48.06364
,Kißlegger Kellerbräu,,3 Fürst-Maximilian-Straße,,Kißlegg,Baden-Württemberg,88353,Germany,+49 7563 91090,http://www.kisslegger-kellerbraeu.de,9.8815598,47.7871065
,Lammbrauerei,,2 Haller Straße,,Abtsgmünd,Baden-Württemberg,73453,Germany,+49 7975 284,http://www.lammbrauerei.de,9.89177,48.91881
,Michelbr,,2 Ludwig-Zorn-Straße,,Eppingen,Baden-Württemberg,75031,Germany,+49 7262 6020,http://www.michelbraeu.de,8.90837,49.13762999999999
,Dorfbräu,,28 Elzstraße,,Teningen,Baden-Württemberg,79331,Germany,,,7.801050000000001,48.1366526
,Egolf,,1 Hintere Klinge,,Schefflenz,Baden-Württemberg,74850,Germany,+49 6293 488,http://www.brauerei-egolf.de,9.26576,49.39039
,Königsegger Walderbräu,,6 Hauptstraße,,Königseggwald,Baden-Württemberg,88376,Germany,+49 7587 95040,http://www.koenigsegger.de,9.4206063,47.9258844
,Rega Bräu,,20 Lerchenstraße,,Waibstadt,Baden-Württemberg,74915,Germany,+49 178 6122172,http://www.rega-braeu.de,8.91803,49.29765
,Joh. Albrecht,,2 Konradigasse,,Konstanz,Baden-Württemberg,78462,Germany,+49 7531 25045,http://www.konstanz.brauhaus-joh-albrecht.de,9.175008499999999,47.6650112
,Lindenbräu,,43 Stuttgarter Straße,,Waldbronn,Baden-Württemberg,76337,Germany,+49 7243 652881,http://www.lindenbraeu-waldbronn.de,8.478138999999999,48.9254312
,Ruppaner,,41-51 Hoheneggstraße,,Konstanz,Baden-Württemberg,78464,Germany,+49 7531 93730,http://www.ruppaner.de,9.2078911,47.6857011
,Waldhaus,,1 Waldhaus,,Weilheim,Baden-Württemberg,79809,Germany,+49 7755 1600,http://www.privatbrauerei-waldhaus.de,8.1577671,47.68292659999999
