id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags,Notes
aslan-brewing-company,Aslan Brewing Company,micro,1330 N Forest St,Bellingham,Washington,98225-4702,http://aslanbrewing.com,3603934106,2018-07-24 01:34:27.877892,2018-08-24 16:32:19.367727,United States,-122.475450877551,48.7480153061224,,
boundary-bay-brewery-and-bistro,Boundary Bay Brewery & Bistro,brewpub,1107 Railroad Ave,Bellingham,Washington,98225-5007,http://www.bbaybrewery.com,3606475593,2018-07-24 01:34:28.471808,2018-08-24 16:33:08.435224,United States,-122.4809958,48.7475046,,
gruff-brewing-company,Gruff Brewing Company,micro,104 E Maple St # 101,Bellingham,Washington,98225-5006,http://www.gruff-brewing.com,3607340115,2018-07-24 01:34:30.194628,2018-08-24 16:35:27.429397,United States,-122.4822547,48.7472243,,
illuminati-brewing-company,Illuminati Brewing Company,closed,3950 Hammer Dr Ste 101,Bellingham,Washington,98226-7776,http://www.illuminatibrewing.com,3602207072,2018-07-24 01:34:30.516853,2018-08-24 16:35:57.452648,United States,-122.456005606061,48.7838573030303,,
kulshan-brewing-co,Kulshan Brewing Co,micro,2238 James St,Bellingham,Washington,98225-4142,http://www.kulshanbrewing.com,3603895348,2018-07-24 01:34:30.646887,2018-08-24 16:36:04.9436,United States,-122.4645645,48.7601273,,
kulshan-brewing-co-k2,Kulshan Brewing Co - K2,micro,1538 Kentucky St,Bellingham,Washington,98229-4720,,3603895348,2018-07-24 01:34:30.660948,2018-08-24 16:36:06.443645,United States,-122.453928093663,48.7576734843602,,
melvin-brewing-bellingham,Melvin Brewing Bellingham,closed,2416 Meridian St,Bellingham,Washington,98225-2405,,3603063285,2018-07-24 01:34:31.170163,2020-10-11 11:12:01,United States,-122.485982020408,48.7621708979592,,
122w-brewing-co,122 West Brewing Co,brewpub,2416 Meridian St,Bellingham,Washington,98225-2405,https://www.122westbrew.com/,3603063285,2020-10-11 11:12:57,2020-10-11 11:12:57,United States,-122.485982020408,48.7621708979592,,
menace-brewing,Menace Brewing,micro,2529 Meridian St,Bellingham,Washington,98225-2406,,3605954059,2018-07-24 01:34:31.183678,2018-08-24 16:36:51.570984,United States,-122.486221142857,48.7635508571429,,
twin-sisters-brewing-company,Twin Sisters Brewing Company,brewpub,500 Carolina St,Bellingham,Washington,98225-4106,https://www.twinsistersbrewing.com,3609226700,2018-07-24 01:34:33.474346,2020-10-11 11:08:12,United States,-122.468971,48.760265,,
stones-throw-brewery,Stones Throw Brewery,micro,1009 Larrabee Ave,Bellingham,Washington,98225-7338,http://www.stonesthrowbrewco.com,3603625058,2018-07-24 01:34:33.036079,2018-08-24 16:39:43.457247,United States,-122.497165,48.718516,,
structures-brewing,Structures Brewing,micro,1420 N State St,Bellingham,Washington,98225-4513,http://www.structuresbrewing.com,3605827475,2018-07-24 01:34:33.073978,2018-08-24 16:39:47.893016,United States,-122.474450699451,48.74988055,,
wander-brewing,Wander Brewing,micro,1807 Dean Ave,Bellingham,Washington,98225-4616,http://www.wanderbrewing.com,3606476152,2018-07-24 01:34:33.668524,2018-08-24 16:40:40.060033,United States,-122.473755877551,48.7541094693877,,
chuckanut-brewery-north-nut,Chuckanut Brewery - North Nut,micro,601 W Holly St,Bellingham,Washington,98225-3920,http://www.chuckanutbreweryandkitchen.com,3607523377,2018-07-24 01:34:28.903213,2018-08-24 16:33:31.816696,United States,-122.4851164,48.7533261,,
foothills-brewing-and-beverage-co,Foothills Brewing and Beverage Co,micro,25312 Kanaskat Dr,Black Diamond,Washington,98010,,3608862215,2018-07-24 01:34:29.832861,2018-08-24 16:34:55.984387,United States,-122.006345,47.328838,,
lumber-house-brewing-company,Lumber House Brewing Company,micro,30741 3rd AVE Suite 133,Black Diamond,Washington,98010,https://lumberhousebrew.com,4254320121,2018-07-24 01:34:30.936869,2010-10-11 11:28:15,United States,-122.010144,47.327123,,
atwood-ales,Atwood Ales,micro,4012 Sweet Rd,Blaine,Washington,98230-9108,http://www.atwoodales.com,3603996239,2018-07-24 01:34:27.919989,2018-08-24 16:32:23.763378,United States,-122.699045857143,48.9790061428571,,
beardslee-public-house,Beardslee Public House,brewpub,19116 Beardslee Blvd Ste 201,Bothell,Washington,98011-0202,,,2018-07-24 01:34:28.108505,2018-08-24 16:32:41.6315,United States,-122.1914046,47.7663209,,
decibel-brewing-co,Decibel Brewing Co,micro,18204 Bothell Everett Hwy Ste C,Bothell,Washington,98012-6869,http://www.decibelbrewing.com,4254081946,2018-07-24 01:34:29.05596,2020-10-11 13:18:29,United States,-122.210174,47.833364,,
foggy-noggin-brewing,Foggy Noggin Brewing,micro,22329 53rd Ave SE,Bothell,Washington,98021-8017,http://www.foggynogginbrewing.com,2065539223,2018-07-24 01:34:29.818114,2020-10-11 13:19:58,United States,-122.161117,47.794727,,
watts-brewing-company,Watts Brewing Company,micro,19813 51st Ave SE,Bothell,Washington,98012-7440,http://www.wattsbrewingcompany.com,2066583646,2018-07-24 01:34:33.707862,2018-08-11 21:40:27.902321,United States,,,,
mcmenamins-anderson-school-brewery,McMenamins Anderson School Brewery,brewpub,18607 Bothell Way NE,Bothell,Washington,98011-1928,http://www.mcmenamins.com/AndersonSchool,4253980122,2018-07-24 01:34:31.051778,2018-08-24 16:36:39.507605,United States,-122.208069768707,47.7638777210884,,
terramar-brewstillery,Terramar Brewstillery,micro,5712 Gilkey Ave,Bow,Washington,98232-9353,http://terramarcraft.com,3603996222,2018-07-24 01:34:33.169521,2020-10-11 11:31:19,United States,-122.443599,48.564097,,
bad-bulldogs-brewery,Bad Bulldogs Brewery,closed,941 N Callow Ave,Bremerton,Washington,98312,,3606278079,2018-07-24 01:34:27.961744,2018-08-24 16:32:28.183091,United States,-122.653373636364,47.5696392121212,,
chaos-bay-brewing-co,Chaos Bay Brewing Co,micro,1100 Perry Ave Unit C,Bremerton,Washington,98310-4945,https://www.chaosbaybrewing.com,3603772344,2020-10-11 13:22:38,2020-10-11 13:22:38,United States,-122.613427,47.570838,,
der-blokken-brewery,Der Blokken Brewery,closed,1100 Perry Ave Unit C,Bremerton,Washington,98310-4945,http://www.derblokken.com,3603772344,2018-07-24 01:34:29.073001,2018-08-11 21:40:14.209789,United States,,,,
dog-days-brewing,Dog Days Brewing,brewpub,260 4th St,Bremerton,Washington,98337-1813,https://www.dogdaysbrewing.com,3606279925,2018-07-24 01:34:29.201845,2020-10-11 11:33:29,United States,-122.6259002,47.5658843,,
lovecraft-brewing-co,LoveCraft Brewing Co,micro,275 5th St Ste 101,Bremerton,Washington,98337-1907,https://www.lovecraftbrewery.com,,2018-07-24 01:34:30.895153,2020-10-11 11:35:08,United States,-122.6257694,47.5664595,,
smittys-brewing,Smitty's Brewing,micro,,Bremerton,Washington,98312-9132,http://smittysbrewing.com,3607108921,2018-07-24 01:34:32.875053,2020-10-11 11:37:28,United States,,,,
silver-city-brewery,Silver City Brewery,regional,206 Katy Penman Ave,Bremerton,Washington,98312-4301,http://www.silvercitybrewery.com,3608131487,2018-07-24 01:34:32.762649,2018-08-24 16:39:16.103972,United States,-122.678010092627,47.56156065,,
elk-head-brewing-co,Elk Head Brewing Co,micro,28120 State Route 410 E,Buckley,Washington,98321-8721,,3608292739,2018-07-24 01:34:29.385354,2018-08-11 21:40:15.241443,United States,,,,
farm-shed-wines-and-brews,Farm Shed Wines & Brews,micro,22808 Sumner Buckley Hwy E,Buckley,Washington,98321-8424,http://www.farmshedwines.com,8444379786,2018-07-24 01:34:29.601416,2020-10-11 11:41:08,United States,-122.124967,47.180813,,
elliott-bay-brewhouse-and-pub-burien,Elliott Bay Brewhouse & Pub - Burien,brewpub,255 SW 152nd St,Burien,Washington,98166-2307,http://www.elliottbaybrewing.com,2062464211,2018-07-24 01:34:29.425336,2018-08-24 16:34:17.612908,United States,-122.337338090909,47.466775,,
chuckanut-south-nut,Chuckanut - South Nut,micro,11937 Higgins Airport Way,Burlington,Washington,98233-5312,http://chuckanutbreweryandkitchen.com/south-nut,3607523377,2018-07-24 01:34:28.887877,2020-10-11 11:42:29,United States,-122.411968,48.473804,,
garden-path-fermentation,Garden Path Fermentation,micro,11653 Higgins Airport Way,Burlington,Washington,98233-5308,http://www.gardenpathwa.com,3605038956,2018-07-24 01:34:29.98397,2018-08-11 21:40:16.945395,United States,,,,
skagit-valley-malting,Skagit Valley Malting,micro,11966 Westar Ln,Burlington,Washington,98233-3620,https://www.skagitvalleymalting.com/,3609821262,2018-07-24 01:34:32.805048,2020-10-11 11:43:11,United States,-122.408008,48.473509,,
cardinal-craft-brewing-academy/-skagit-valley-college,Cardinal Craft Brewing Academy/ Skagit Valley College,micro,15579 Peterson Rd,Burlington,Washington,98233-3625,http://www.skagit.edu,3604162537,2018-07-24 01:34:28.807458,2018-08-24 16:33:22.039684,United States,-122.3533958,48.4719343,,
grains-of-wrath-brewing,Grains of Wrath Brewing,brewpub,230 NE 5th Ave,Camas,Washington,98607,http://www.gowbeer.com,3602105717,2018-07-24 01:34:30.164099,2018-08-24 16:35:24.351582,United States,-122.4056003,45.5857341,,
mill-city-brew-werks,Mill City Brew Werks,closed,339 NE Cedar St,Camas,Washington,98607-2142,http://www.mcbwbeer.com,3602104761,2018-07-24 01:34:31.241403,2018-08-24 16:36:57.447645,United States,-122.404172,45.585626,,
backwoods-brewing-company-production-only,Backwoods Brewing Company - Production Only,micro,1162 B Wind River Hwy,Carson,Washington,98610,http://www.backwoodsbrewingcompany.com,5094273412,2018-07-24 01:34:27.948609,2018-08-24 16:32:26.68574,United States,-121.820375417521,45.7287225339951,,
backwoods-in-the-gorge,Backwoods in the Gorge,micro,1162 Wind River Hwy,Carson,Washington,98610,http://www.backwoodsbrewingcompany.com,5094273412,2018-07-24 01:34:27.93408,2020-10-11 11:48:11,United States,-121.820375417521,45.7287225339951,,
mile-post-111-brewing,Mile Post 111 Brewing,brewpub,407 Aplets Way,Cashmere,Washington,98815,http://www.milepost111brewingcompany.com,5098880222,2018-07-24 01:34:31.225453,2018-08-24 16:36:55.972023,United States,-120.4700494,47.5236059,,
parkers-steakhouse-and-brewery,Parker's Steakhouse and Brewery,brewpub,1300 Mt Saint Helens Way NE,Castle Rock,Washington,98611-9014,http://www.parkerssteakhouse.com,3609672333,2018-07-24 01:34:31.953677,2018-08-24 16:37:56.306651,United States,-122.898886,46.287285,,
river-mile-38-brewing-co,River Mile 38 Brewing Co,micro,285 3rd St,Cathlamet,Washington,98612-9561,http://www.rivermile38.com,3603554662,2018-07-24 01:34:32.465181,2018-08-24 16:38:43.048398,United States,-123.3853742,46.2054338,,
dicks-brewing-co,Dicks Brewing Co,micro,3516 Galvin Rd,Centralia,Washington,98531-9002,http://www.dicksbeer.com,3607367760,2018-07-24 01:34:29.131894,2018-08-24 16:33:49.880421,United States,-122.999969333333,46.7354924848485,,
mcmenamins-olympic-club-brewery,McMenamins Olympic Club Brewery,brewpub,112 N Tower Ave,Centralia,Washington,98531-4220,http://www.mcmenamins.com,3607365164,2018-07-24 01:34:31.102178,2018-08-24 16:36:44.004023,United States,-122.9539398,46.7167828,,
jones-creek-brewing,Jones Creek Brewing,micro,173 Beam Rd,Chehalis,Washington,98532-9303,http://www.jonescreekbrewing.com,3602453429,2018-07-24 01:34:30.594532,2020-10-11 11:55:51,United States,-123.277400,46.588152,,
stormy-mountain-brewing-company,Stormy Mountain Brewing Company,brewpub,133 E Woodin Ave,Chelan,Washington,98816-,http://www.stormymountainbrewing.com,5098885665,2018-07-24 01:34:33.048909,2018-08-24 16:39:44.923709,United States,-120.0177327,47.8401295,,
quartzite-brewing-company,Quartzite Brewing Company,micro,105 W Main Ave,Chewelah,Washington,99109-9257,https://quartzitebrewco.business.site,5099363686,2018-07-24 01:34:32.162177,2020-10-11 11:55:04,United States,-117.71646,48.27618,,
riverport-brewing-co,Riverport Brewing Co,micro,150 9th St Ste B,Clarkston,Washington,99403-1856,http://www.riverportbrewing.com,5097588889,2018-07-24 01:34:32.491785,2018-08-11 21:40:24.908084,United States,,,,
taneum-creek-brewing,Taneum Creek Brewing,micro,811 Hwy 970 Ste 7,Cle Elum,Washington,98922,http://www.facebook.com/TaneumCreekBrewing,9709039414,2018-07-24 01:34:33.127388,2020-10-11 11:58:41,United States,,,,
mule-and-elk-brewing-co,Mule & Elk Brewing Co,micro,418 East 1st St Ste 7,Cle Elum,Washington,98922,http://www.muleandelk.com,2063211911,2018-07-24 01:34:31.376519,2020-10-11 11:58:22,United States,-120.932084,47.194410,,
ogres-brewing,Ogres Brewing,micro,7693 Cultus Bay Rd Ste 1,Clinton,Washington,98236-9432,http://www.ogresbrewing.com,4254189005,2018-07-24 01:34:31.728349,2018-08-11 21:40:22.684351,United States,,,,
fired-up-brewing,Fired Up Brewing,brewpub,1235 S Main St,Colville,Washington,99114-9504,http://www.facebook.com/firedupbrewing,5096843328,2018-07-24 01:34:29.667497,2018-08-24 16:34:39.853904,United States,-117.9057561,48.540198,,
birdsview-brewing-co,BirdsView Brewing Co,micro,38302 State Route 20,Concrete,Washington,98237-9460,http://www.birdsviewbrewingcompany.com,3608263406,2018-07-24 01:34:28.30571,2018-08-24 16:32:57.635604,United States,-121.7378167,48.5357818,,
cowiche-creek-brewing-company,Cowiche Creek Brewing Company,micro,514 Thompson Rd BLDG #2,Cowiche,Washington,98923-9734,http://www.cowichecreekbrewing.com,5096780324,2018-07-24 01:34:29.009772,2018-08-11 21:40:14.036779,United States,,,,
river-time-brewing,River Time Brewing,brewpub,650 Emens Ave S,Darrington,Washington,98241,http://www.rivertimebrewing.com,2674837411,2018-07-24 01:34:32.478692,2018-08-24 16:38:44.539908,United States,-121.602040168904,48.2490529141241,,
chief-springs-fire-and-irons-brew-pub,Chief Spring's Fire and Irons Brew Pub,brewpub,148 E Main St,Dayton,Washington,99328-1351,http://www.fireandironsbrewpub.com,5093824677,2018-07-24 01:34:28.873994,2018-08-24 16:33:28.636505,United States,-117.9811345,46.3192285,,
north-fork-brewing-co,North Fork Brewing Co,brewpub,6186 Mt Baker Hwy,Deming,Washington,98244-9501,http://www.northforkbrewery.com,3605992337,2018-07-24 01:34:31.502287,2018-08-24 16:37:21.891041,United States,-122.243112,48.833032,,
forward-operating-base-brewing-company-/-fob-brewing,Forward Operating Base Brewing Company / FOB Brewing,micro,2750 Williamson Pl Ste 100,Dupont,Washington,98327-7501,http://www.fobbrewingcompany.com,2535074667,2018-07-24 01:34:29.861238,2018-08-24 16:34:59.023258,United States,-122.625039,47.107496,,
valley-house-brewing,Valley House Brewing,brewpub,16111 Main St NE,Duvall,Washington,98019-8490,http://www.valleyhousebrewing.com,4253186363,2018-07-24 01:34:33.574726,2018-08-24 16:40:30.809786,United States,-121.985884591837,47.7431528571429,,
island-hoppin-brewery,Island Hoppin' Brewery,micro,33 Hope Ln,Eastsound,Washington,98245-8915,http://www.islandhoppinbrewery.com,3603769253,2018-07-24 01:34:30.555722,2018-08-24 16:36:02.018662,United States,-122.915252600923,48.7026805323222,,
american-brewing-company,American Brewing Company,brewpub,180 W Dayton St Ste 102,Edmonds,Washington,98020-4127,http://www.americanbrewing.com,4257741717,2018-07-24 01:34:27.836832,2018-08-11 21:40:11.51382,United States,,,,
brewery-in-planning-spokane,Brewery In Planning - Spokane,planning,,Edmonds,Washington,98026,,,2018-07-24 01:34:28.591461,2018-08-11 21:40:13.065115,United States,,,,
gallaghers-where-u-brew,Gallaghers' Where U Brew,micro,180 W Dayton St Ste 105,Edmonds,Washington,98020-4160,http://www.whereubrew.com,4257764209,2018-07-24 01:34:29.970234,2018-08-11 21:40:16.904809,United States,,,,
salish-sea-brewing-company,Salish Sea Brewing Company,brewpub,518 Dayton St Ste 104,Edmonds,Washington,98020-,http://www.salishbrewing.com,2062953116,2018-07-24 01:34:32.631568,2018-08-11 21:40:25.333027,United States,,,,
iron-horse-brewery,Iron Horse Brewery,regional,1621 Vantage Hwy,Ellensburg,Washington,98926-9001,http://www.ironhorsebrewery.com,5099333134,2018-07-24 01:34:30.542902,2018-08-11 21:40:18.23438,United States,,,,
whipsaw-brewing-llc,Whipsaw Brewing LLC,micro,704 N Wenas St,Ellensburg,Washington,98926-2862,http://www.whipsawbrewing.com,5099685111,2018-07-24 01:34:33.793426,2018-08-24 16:40:52.136085,United States,-120.5552612,46.9989453,,
headworks-brewing,Headworks Brewing,micro,1110 Marshall Ave,Enumclaw,Washington,98022-3525,http://www.headworksbrewing.com,,2018-07-24 01:34:30.289884,2020-10-11 12:03:09,United States,-121.987758,47.205096,,
cole-street-brewery,Cole Street Brewery,micro,1627 Cole St,Enumclaw,Washington,98022-3640,http://www.colestreetbrew.com,2539516656,2018-07-24 01:34:28.943476,2020-10-11 12:05:27,United States,-121.988911,47.204514,,
enumclaw-brewing-company-rockridge-orchards-and-cidery,Enumclaw Brewing Company @ Rockridge Orchards & Cidery,closed,40709 264th Ave SE,Enumclaw,Washington,98022-8366,http://www.rockridgeorchards.com,3608026800,2018-07-24 01:34:29.556667,2020-10-11 12:11:39,United States,,,,
at-large-brewing,At Large Brewing,micro,2730 W Marine View Dr,Everett,Washington,98201-3421,http://www.atlargebrewing.com,4253240039,2018-07-24 01:34:27.890835,2018-08-24 16:32:20.841244,United States,-122.2146867,47.9808918,,
crucible-brewing-everett-foundry,Crucible Brewing - Everett Foundry,micro,909 SE Everett Mall Way Ste D440,Everett,Washington,98208-3755,http://Www.cruciblebrewing.com,4253747293,2018-07-24 01:34:29.03761,2020-10-11 12:12:49,United States,-122.220239,47.911765,,
lazy-boy-brewing,Lazy Boy Brewing,micro,715 100th St SE Ste A1,Everett,Washington,98208-3762,http://www.lazyboybrewing.com,4254237700,2018-07-24 01:34:30.80206,2018-08-11 21:40:19.099328,United States,,,,
middleton-brewing-co,Middleton Brewing Co,brewpub,607 SE Everett Mall Way Ste 27A,Everett,Washington,98208-3264,https://www.facebook.com/MiddletonBrews,4252809178,2018-07-24 01:34:31.212004,2020-10-11 12:19:15,United States,-122.224702,47.911397,,
pacific-northwest-brewing-center-llc,"Pacific Northwest Brewing Center, LLC",planning,,Everett,Washington,98208-3320,,,2018-07-24 01:34:31.90668,2018-08-11 21:40:23.05777,United States,,,,
scuttlebutt-brewing-co,Scuttlebutt Brewing Co,micro,3314 Cedar St,Everett,Washington,98201-4518,http://www.scuttlebuttbrewing.com,4252579316,2018-07-24 01:34:32.7094,2018-08-24 16:39:10.093599,United States,-122.1943218,47.9736304,,
fox-island-brewing,Fox Island Brewing,closed,2416 14th Ave NW,Gig Harbor,Washington,98335,http://www.foxislandbrewing.com,,2018-07-24 01:34:29.915113,2020-10-11 12:20:14,United States,,,,
friday-harbor-brewing,Friday Harbor Brewing,closed,665B Mullis St,Friday Harbor,Washington,98250-7902,http://www.fridayharborbrewhouse.com,3603786205,2018-07-24 01:34:29.943247,2020-10-11 12:23:19,United States,-123.022332659091,48.5302680302843,,
san-juan-island-brewing-company,San Juan Island Brewing Company,brewpub,410 A St,Friday Harbor,Washington,98250,http://www.sanjuanbrew.com,3603782017,2018-07-24 01:34:32.644943,2018-08-24 16:39:02.719852,United States,-123.015023275862,48.5327654137931,,
e2w-brewing,E2W Brewing,micro,12913 Shady Glen Ave SE,Olalla,Washington,98359,https://www.facebook.com/E2WBrewing,2532147463,2018-07-24 01:34:29.354727,2020-10-11 12:24:13,United States,-122.594069,47.432463,,
gsp-craft-brewing,GSP Craft Brewing,closed,,Gig Harbor,Washington,98332-7918,http://www.facebook.com/gspcraftbrewing/,2533281121,2018-07-24 01:34:30.209978,2020-10-11 12:25:58,United States,,,,
wet-coast-brewing-co,Wet Coast Brewing Co.,micro,6820 Kimball Dr Ste C,Gig Harbor,Washington,98335-5124,http://www.wetcoastbrewing.com,2534324966,2018-07-24 01:34:33.780136,2018-08-11 21:40:28.106166,United States,,,,
dwinell-country-ales,Dwinell Country Ales,micro,206 W Broadway St,Goldendale,Washington,98620-9130,http://www.countryales.com,5097733138,2018-07-24 01:34:29.328569,2018-08-24 16:34:09.583583,United States,-120.824777313583,45.822927,,
mt-head-brewing-co,MT Head Brewing Co,closed,27307 159th Ave E,Graham,Washington,98338-5608,http://www.mtheadbrewingco.com,2532088999,2018-07-24 01:34:31.34807,2020-10-11 12:31:41,United States,,,,
hoquiam-brewing-company,Hoquiam Brewing Company,micro,526 8th St,Hoquiam,Washington,98550-3521,http://www.hoquiambrews.com,3606378252,2018-07-24 01:34:30.461708,2018-08-24 16:35:51.610155,United States,-123.886561244898,46.975367122449,,
mt-index-brewery,Mt Index Brewery,closed,49315 State Road 2 Ste B,index,Washington,98256,https://www.facebook.com/mt.index.brewery.and.distillery,3607936584,2018-07-24 01:34:31.362592,2020-10-11 12:32:19,United States,,,,
jc-brewhouse,JC Brewhouse,planning,,Issaquah,Washington,98029-8902,,4252816502,2018-07-24 01:34:30.569214,2018-08-11 21:40:18.333976,United States,,,,
manfish-brewing,Manfish Brewing,micro,19611 276th Ave SE,Issaquah,Washington,98027-8292,http://www.manfishbrewing.com,4255847264,2018-07-24 01:34:31.003884,2018-08-11 21:40:19.848369,United States,,,,
rogue-ales-issaquah-brewhouse,Rogue Ales Issaquah Brewhouse,closed,35 W Sunset Way Ste C,Issaquah,Washington,98027-3843,http://www.rogue.com,4255571911,2018-07-24 01:34:32.575824,2020-10-10 13:41:44,United States,,,,
192-brewing,192 Brewing,micro,7324 NE 175th St,Kenmore,Washington,98028-2500,http://www.192brewing.com,4254242337,2018-07-24 01:34:27.663575,2018-08-24 16:31:58.108557,United States,-122.241565244724,47.75670075,,
cairn-brewing,Cairn Brewing,micro,7204 NE 175th St,Kenmore,Washington,98028-3561,http://www.cairnbrewing.com,4259495295,2018-07-24 01:34:28.766638,2018-08-24 16:33:20.424034,United States,-122.24408655486,47.7571424,,
nine-yards-brewing,Nine Yards Brewing,micro,7324 NE 175th St Ste A,Kenmore,Washington,98028-2500,http://www.nineyardsbrewing.com,2066932333,2018-07-24 01:34:31.430698,2018-08-11 21:40:21.626921,United States,,,,
ice-harbor-brewing-company,Ice Harbor Brewing Company,brewpub,206 N Benton St Ste C,Kennewick,Washington,99336-3608,http://www.iceharbor.com,5095825340,2018-07-24 01:34:30.488173,2020-10-11 12:40:11,United States,-119.119238,46.211100,,
ice-harbor-brewing-company-at-the-marina,Ice Harbor Brewing Company at the Marina,brewpub,350 Clover Island Dr,Kennewick,Washington,99336-3678,http://iceharbor.com,5095863181,2020-10-11 12:41:14,2020-10-11 12:41:14,United States,-119.111368,46.217631,,
airways-brewing-co,Airways Brewing Co,micro,8611 S 212th St,Kent,Washington,98031-1910,http://www.airwaysbrewing.com,2532001707,2018-07-24 01:34:27.794259,2018-08-24 16:32:10.109657,United States,-122.2391026,47.4119802,,
airways-brewing-co-bistro-and-beer-garden,Airways Brewing Co. Bistro & Beer Garden,brewpub,320 W Harrison St,Kent,Washington,98032,http://airwaysbrewing.com/bistro-beer-garden/,2532368632,2020-10-11 12:46:58,2020-10-11 12:46:58,United States,-122.235649,47.382498,,
four-horsemen-brewery,Four Horsemen Brewery,micro,30221 148th Ave SE,Kent,Washington,98042-9368,http://www.fourhorsemen.beer,2539814258,2018-07-24 01:34:29.901327,2018-08-24 16:35:03.792089,United States,-122.1426915,47.3844953,,
