obdb_id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
Ol' Beautiful Brewing Co.,Ol' Beautiful Brewing Co.,,1103 12th Street SE,,,Calgary,,Alberta,,http://olbeautiful.com,(403) 453-2739,,,Canada,,,
Outcast Brewing,Outcast Brewing,,607 Manitou Road SE,,,Calgary,,Alberta,,https://outcastbrewing.ca/,(403) 477-5478,,,Canada,,,
Paddy's Barbecue & Brewery,Paddy's Barbecue & Brewery,,3610 Burnsland Road SE,,,Calgary,,Alberta,,https://paddysbrewbecue.com,(403) 651-7150,,,Canada,,,
Prairie Baard,Prairie Baard,,,,,Calgary,,Alberta,,,,,,Canada,,,
Prairie Dog Brewing,Prairie Dog Brewing,,,,,Calgary,,Alberta,,,,,,Canada,,,
Railyard Brewing,Railyard Brewing,,,,,Calgary,,Alberta,,,,,,Canada,,,
Rapid Ascent Brew Company,Rapid Ascent Brew Company,,,,,Calgary,,Alberta,,,,,,Canada,,,
Revival Brewcade,Revival Brewcade,,,,,Calgary,,Alberta,,,,,,Canada,,,
SunnyCider,SunnyCider,,,,,Calgary,,Alberta,,,,,,Canada,,,
Tailgunner Brewing Co.,Tailgunner Brewing Co.,,,,,Calgary,,Alberta,,,,,,Canada,,,
The Dandy Brewing Company,The Dandy Brewing Company,,,,,Calgary,,Alberta,,,,,,Canada,,,
The Establishment Brewing Company,The Establishment Brewing Company,,,,,Calgary,,Alberta,,,,,,Canada,,,
The Well Brewing Company,The Well Brewing Company,,,,,Calgary,,Alberta,,,,,,Canada,,,
Tool Shed Brewing Company,Tool Shed Brewing Company,,,,,Calgary,,Alberta,,,,,,Canada,,,
Tower Brewing Co.,Tower Brewing Co.,,,,,Calgary,,Alberta,,,,,,Canada,,,
Trolley 5 Restaurant & Brewery,Trolley 5 Restaurant & Brewery,,,,,Calgary,,Alberta,,,,,,Canada,,,
Two House Brewing Company,Two House Brewing Company,,,,,Calgary,,Alberta,,,,,,Canada,,,
Two Pillars Brewery,Two Pillars Brewery,,,,,Calgary,,Alberta,,,,,,Canada,,,
Uncommon Cider Co.,Uncommon Cider Co.,,,,,Calgary,,Alberta,,,,,,Canada,,,
Village Brewery,Village Brewery,,,,,Calgary,,Alberta,,,,,,Canada,,,
Wild Rose Brewery,Wild Rose Brewery,,,,,Calgary,,Alberta,,,,,,Canada,,,
Zero Issue Brewing,Zero Issue Brewing,,,,,Calgary,,Alberta,,,,,,Canada,,,
Battle River Brewery,Battle River Brewery,,,,,Camrose,,Alberta,,,,,,Canada,,,
Norsemen Brewing Co.,Norsemen Brewing Co.,,,,,Camrose,,Alberta,,,,,,Canada,,,
Canmore Brewing Company,Canmore Brewing Company,,,,,Canmore,,Alberta,,,,,,Canada,,,
Sheepdog Brewing,Sheepdog Brewing,,,,,Canmore,,Alberta,,,,,,Canada,,,
The Grizzly Paw Brewing Company,The Grizzly Paw Brewing Company,,,,,Canmore,,Alberta,,,,,,Canada,,,
Tamarack Jack's Honey and Meadery,Tamarack Jack's Honey and Meadery,,,,,Caroline,,Alberta,,,,,,Canada,,,
Township 24 Brewery,Township 24 Brewery,,,,,Chestermere,,Alberta,,,,,,Canada,,,
Half Hitch Brewing Company,Half Hitch Brewing Company,,,,,Cochrane,,Alberta,,,,,,Canada,,,
Rocky View Brewing Company,Rocky View Brewing Company,,,,,Cochrane,,Alberta,,,,,,Canada,,,
Cold Lake Brewing & Distilling Co.,Cold Lake Brewing & Distilling Co.,,,,,Cold Lake,,Alberta,,,,,,Canada,,,
BeerdMeister Craft Beer,BeerdMeister Craft Beer,,,,,Didsbury,,Alberta,,,,,,Canada,,,
Cowtown Brewing Company,Cowtown Brewing Company,,,,,Didsbury,,Alberta,,,,,,Canada,,,
King of Springs Brewery Ltd.,King of Springs Brewery Ltd.,,,,,Didsbury,,Alberta,,,,,,Canada,,,
Valley Brewing,Valley Brewing,,,,,Drumheller,,Alberta,,http://www.valleybrewing.ca,,,,Canada,,,
Ribstone Creek Brewery,Ribstone Creek Brewery,,,,,Edgerton,,Alberta,,,,,,Canada,,,
Ale Architect,Ale Architect,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Alley Kat,Alley Kat,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Analog Brewing,Analog Brewing,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Arcadia Brewing Co.,Arcadia Brewing Co.,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Bent Stick Brewing,Bent Stick Brewing,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Blind Enthusiasm Brewing Company,Blind Enthusiasm Brewing Company,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Campio Brewing Co.,Campio Brewing Co.,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Elbeck Brews,Elbeck Brews,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Foxtail Brewing Co.,Foxtail Brewing Co.,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Odd Company Brewing,Odd Company Brewing,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Omen Brewing,Omen Brewing,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Polar Park Brewing,Polar Park Brewing,,,,,Edmonton,,Alberta,,,,,,Canada,,,
S.Y.C. Brewing Co.,S.Y.C. Brewing Co.,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Sea Change Brewing Company,Sea Change Brewing Company,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Situation Brewing Co.,Situation Brewing Co.,,,,,Edmonton,,Alberta,,,,,,Canada,,,
The Growlery Beer Co.,The Growlery Beer Co.,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Town Square Brewing Co.,Town Square Brewing Co.,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Trial & Ale,Trial & Ale,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Two Sergeants Brewing Co.,Two Sergeants Brewing Co.,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Woden Brewing Ltd.,Woden Brewing Ltd.,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Yellowhead Brewing Company,Yellowhead Brewing Company,,,,,Edmonton,,Alberta,,,,,,Canada,,,
Heilan Beer House,Heilan Beer House,,,,,Fairview,,Alberta,,,,,,Canada,,,
Stronghold Brewing Company,Stronghold Brewing Company,,,,,Fort Macleod,,Alberta,,,,,,Canada,,,
Wood Buffalo Brewing Co.,Wood Buffalo Brewing Co.,,,,,Fort McMurray,,Alberta,,,,,,Canada,,,
GP Brewing Co.,GP Brewing Co.,,,,,Grande Prairie,,Alberta,,,,,,Canada,,,
Grain Bin Brewing Company,Grain Bin Brewing Company,,,,,Grande Prairie,,Alberta,,,,,,Canada,,,
High River Brewing Company,High River Brewing Company,,,,,High River,,Alberta,,,,,,Canada,,,
Folding Mountain Brewing,Folding Mountain Brewing,,,,,Hinton,,Alberta,,,,,,Canada,,,
Dark Woods Brewing,Dark Woods Brewing,,,,,Innisfail,,Alberta,,,,,,Canada,,,
Field & Forge Brewing Co.,Field & Forge Brewing Co.,,,,,Innisfail,,Alberta,,,,,,Canada,,,
Jasper Brewing Company,Jasper Brewing Company,,,,,Jasper,,Alberta,,,,,,Canada,,,
Blindman Brewing,Blindman Brewing,,,,,Lacombe,,Alberta,,,,,,Canada,,,
Rural Routes Brewing Company,Rural Routes Brewing Company,,,,,Leduc,,Alberta,,,,,,Canada,,,
Coulee Brew Co.,Coulee Brew Co.,,,,,Lethbridge,,Alberta,,,,,,Canada,,,
Spectrum Ale Works,Spectrum Ale Works,,,,,Lethbridge,,Alberta,,,,,,Canada,,,
4th Meridian Brewing Company,4th Meridian Brewing Company,,,,,Lloydminster,,Alberta,,,,,,Canada,,,
Oldman River Brewing,Oldman River Brewing,,,,,Lundbreck,,Alberta,,,,,,Canada,,,
Hell's Basement Brewery,Hell's Basement Brewery,,,,,Medicine Hat,,Alberta,,,,,,Canada,,,
Medicine Hat Brewing Company,Medicine Hat Brewing Company,,,,,Medicine Hat,,Alberta,,,,,,Canada,,,
Travois Ale Works,Travois Ale Works,,,,,Medicine Hat,,Alberta,,,,,,Canada,,,
Sturgeon Brewing Company,Sturgeon Brewing Company,,,,,Morinville,,Alberta,,,,,,Canada,,,
High Country Beer,High Country Beer,,,,,Nisku,,Alberta,,,,,,Canada,,,
Rig Hand Distillery,Rig Hand Distillery,,,,,Nisku,,Alberta,,,,,,Canada,,,
Hub Town Brewing Co.,Hub Town Brewing Co.,,,,,Okotoks,,Alberta,,,,,,Canada,,,
Six Corners Brew Works,Six Corners Brew Works,,,,,Okotoks,,Alberta,,,,,,Canada,,,
Olds College Brewery,Olds College Brewery,,,,,Olds,,Alberta,,,,,,Canada,,,
Peace River Brewing,Peace River Brewing,,,,,Peace River,,Alberta,,,,,,Canada,,,
Fat Unicorn Brewery,Fat Unicorn Brewery,,,,,Plamondon,,Alberta,,,,,,Canada,,,
Siding 14 Brewing Company,Siding 14 Brewing Company,,,,,Ponoka,,Alberta,,,,,,Canada,,,
Belly Hop Brewing,Belly Hop Brewing,,,,,Red Deer,,Alberta,,,,,,Canada,,,
Drummond Brewing Company,Drummond Brewing Company,,,,,Red Deer,,Alberta,,,,,,Canada,,,
Hamill Brothers Brewing,Hamill Brothers Brewing,,,,,Red Deer,,Alberta,,,,,,Canada,,,
Red Hart Brewing,Red Hart Brewing,,,,,Red Deer,,Alberta,,,,,,Canada,,,
Sawback Brewing Company,Sawback Brewing Company,,,,,Red Deer,,Alberta,,,,,,Canada,,,
Something Brewing,Something Brewing,,,,,Red Deer,,Alberta,,,,,,Canada,,,
Troubled Monk Brewery,Troubled Monk Brewery,,,,,Red Deer,,Alberta,,,,,,Canada,,,
Wild Brewing Co.,Wild Brewing Co.,,,,,Red Deer,,Alberta,,,,,,Canada,,,
Hawk Tail Brewery,Hawk Tail Brewery,,,,,Rimbey,,Alberta,,,,,,Canada,,,
Dunvegan Brewing Company,Dunvegan Brewing Company,,,,,Rycroft,,Alberta,,,,,,Canada,,,
Dog Island Brewing,Dog Island Brewing,,,,,Slave Lake,,Alberta,,,,,,Canada,,,
Talking Dog Brewing,Talking Dog Brewing,,,,,Spruce Grove,,Alberta,,,,,,Canada,,,
Beer Factory,Beer Factory,,,,,St. Albert,,Alberta,,,,,,Canada,,,
Endeavour Brewing Company,Endeavour Brewing Company,,,,,St. Albert,,Alberta,,,,,,Canada,,,
Lakeland Brewing Company,Lakeland Brewing Company,,,,,St. Paul,,Alberta,,,,,,Canada,,,
Origin Malting & Brewing Co.,Origin Malting & Brewing Co.,,,,,Strathmore,,Alberta,,,,,,Canada,,,
Snake Lake Brewing Company,Snake Lake Brewing Company,,,,,Sylvan Lake,,Alberta,,,,,,Canada,,,
Undercurrent Brewing,Undercurrent Brewing,,,,,Sylvan Lake,,Alberta,,,,,,Canada,,,
Prairie Brewing Company,Prairie Brewing Company,,,,,Three Hills,,Alberta,,,,,,Canada,,,
Brauerei Fahr,Brauerei Fahr,,,,,Turner Valley,,Alberta,,,,,,Canada,,,
Fallentimber Meadery,Fallentimber Meadery,,,,,Water Valley,,Alberta,,,,,,Canada,,,
